ticker,name,sector,industry,cik,index_member,sic_code,sic_desc
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,851968,SP600,2273,Carpets & Rugs
MHO,"M/I Homes, Inc.",Consumer Discretionary,Homebuilding,799292,SP600,1531,Operative Builders
MIR,"Mirion Technologies, Inc.",Information Technology,Electronic Equipment & Instruments,1809987,SP600,3829,"Measuring & Controlling Devices, NEC"
MKTX,MarketAxess,Financials,Financial Exchanges & Data,1278021,SP600,6211,"Security Brokers, Dealers & Flotation Companies"
MLKN,"MillerKnoll, Inc.",Industrials,Office Services & Supplies,66382,SP600,2520,Office Furniture
MMI,"Marcus & Millichap, Inc.",Real Estate,Real Estate Services,1578732,SP600,6531,Real Estate Agents & Managers (For Others)
MMSI,"Merit Medical Systems, Inc.",Health Care,Health Care Supplies,856982,SP600,3841,Surgical & Medical Instruments & Apparatus
MNRO,"Monro, Inc.",Consumer Discretionary,Automotive Retail,876427,SP600,7500,"Services-Automotive Repair, Services & Parking"
MOH,Molina Healthcare,Health Care,Managed Health Care,1179929,SP600,6324,Hospital & Medical Service Plans
MPT,Medical Properties Trust,Real Estate,Health Care REITs,1287865,SP600,6798,Real Estate Investment Trusts
MRCY,Mercury Systems,Industrials,Electrical Components & Equipment,1049521,SP600,3670,Electronic Components & Accessories
MRP,"Millrose Properties, Inc.",Real Estate,Single-Family Residential REITs,2017206,SP600,6500,Real Estate
MRTN,"Marten Transport, Ltd.",Industrials,Cargo Ground Transportation,799167,SP600,4213,Trucking (No Local)
MSEX,Middlesex Water Company,Utilities,Water Utilities,66004,SP600,4941,Water Supply
MSGS,Madison Square Garden Sports Corp.,Communication Services,Movies & Entertainment,1636519,SP600,7990,Services-Miscellaneous Amusement & Recreation
MTCH,Match Group,Communication Services,Interactive Media & Services,891103,SP600,7370,"Services-Computer Programming, Data Processing, Etc."
MTH,Meritage Homes Corporation,Consumer Discretionary,Homebuilding,833079,SP600,1531,Operative Builders
MTRN,Materion Corp.,Materials,Diversified Metals & Mining,1104657,SP600,3460,Metal Forgings & Stampings
MTUS,Metallus Inc,Materials,Steel,1598428,SP600,3312,"Steel Works, Blast Furnaces & Rolling Mills (Coke Ovens)"
MTX,Minerals Technologies,Materials,Specialty Chemicals,891014,SP600,2810,Industrial Inorganic Chemicals
MWA,Mueller Water Products,Industrials,Industrial Machinery & Supplies & Components,1350593,SP600,3490,Miscellaneous Fabricated Metal Products
MXL,"MaxLinear, Inc.",Information Technology,Semiconductors,1288469,SP600,3674,Semiconductors & Related Devices
MYRG,"MYR Group, Inc.",Industrials,Construction & Engineering,700923,SP600,1623,"Water, Sewer, Pipeline, Comm & Power Line Construction"
NABL,"N-able, Inc.",Information Technology,Systems Software,1834488,SP600,7372,Services-Prepackaged Software
NATL,NCR Atleos,Financials,Transaction & Payment Processing Services,1974138,SP600,3578,Calculating & Accounting Machines (No Electronic Computers)
NAVI,Navient,Financials,Consumer Finance,1593538,SP600,6211,"Security Brokers, Dealers & Flotation Companies"
NBHC,National Bank Holdings Corporation,Financials,Regional Banks,1475841,SP600,6021,National Commercial Banks
NBTB,"NBT Bancorp, Inc.",Financials,Regional Banks,790359,SP600,6021,National Commercial Banks
NE,Noble Corporation,Energy,Oil & Gas Drilling,72207,SP600,1311,Crude Petroleum & Natural Gas
NEO,"NeoGenomics Laboratories, Inc.",Health Care,Health Care Services,1077183,SP600,8734,Services-Testing Laboratories
NEOG,Neogen,Health Care,Health Care Supplies,711377,SP600,2835,In Vitro & In Vivo Diagnostic Substances
NGVT,"Ingevity, Corp.",Materials,Specialty Chemicals,1653477,SP600,2800,Chemicals & Allied Products
NHC,"National Healthcare, Corp.",Health Care,Health Care Facilities,1047335,SP600,8051,Services-Skilled Nursing Care Facilities
NMIH,"NMI Holdings, Inc.",Financials,Commercial & Residential Mortgage Finance,1547903,SP600,6351,Surety Insurance
NOG,"Northern Oil and Gas, Inc.",Energy,Oil & Gas Exploration & Production,1104485,SP600,1311,Crude Petroleum & Natural Gas
NPK,"National Presto Industries, Inc.",Industrials,Aerospace & Defense,80172,SP600,3480,"Ordnance & Accessories, (No Vehicles/Guided Missiles)"
NPO,"EnPro Industries, Inc.",Industrials,Industrial Machinery & Supplies & Components,1164863,SP600,3050,"Gaskets, Packg & Sealg Devices & Rubber & Plastics Hose"
NSIT,"Insight Enterprises, Inc.",Industrials,Technology Distributors,932696,SP600,5961,Retail-Catalog & Mail-Order Houses
NSP,Insperity,Industrials,Human Resource & Employment Services,1000753,SP600,7363,Services-Help Supply Services
NSSC,Napco Security Technologies,Information Technology,Electronic Equipment & Instruments,69633,SP600,3669,"Communications Equipment, NEC"
NTCT,"NETSCOUT Systems, Inc.",Information Technology,Communications Equipment,1078075,SP600,7373,Services-Computer Integrated Systems Design
NVRI,Enviri Corporation,Industrials,Industrial Machinery & Supplies & Components,45876,SP600,8900,"Services-Services, NEC"
NWBI,"Northwest Bancshares, Inc.",Financials,Regional Banks,1471265,SP600,6021,National Commercial Banks
NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,814453,SP600,3089,"Plastics Products, NEC"
NWN,NW Natural,Utilities,Gas Utilities,1733998,SP600,4924,Natural Gas Distribution
NX,Quanex Building Products Corporation,Industrials,Building Products,1423221,SP600,3350,Rolling Drawing & Extruding of  Nonferrous Metals
NXRT,"NexPoint Residential Trust, Inc.",Real Estate,Multi-Family Residential REITs,1620393,SP600,6798,Real Estate Investment Trusts
OFG,OFG Bancorp,Financials,Regional Banks,1030469,SP600,6022,State Commercial Banks
